#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
       5.302651   3.0558382059126552E-06  -4.7983981470193154E-05  -8.5848663897012556E-01  -5.1280331825763437E-01   9.5517735561323480E-10   5.5574480087305922E-10   2.1655653632419598E-05  -1.2832609294113281E-05
       5.402701   2.9244886544114240E-05  -4.0538381487024361E-05   6.4175825540729359E-01  -7.6688263311798788E-01  -7.5410575180179240E-10   9.2599254306047207E-10  -1.8596518763343073E-05   1.8391107294089151E-05
       5.502751   4.8110104184391425E-05  -1.9490734661436711E-05   6.5609035440643126E-01   7.5465474505715324E-01  -8.5967873098002912E-10  -9.5838520453028764E-10   1.4097341232478110E-05  -2.3191913924934337E-05
       5.602801   5.3005746878424163E-05   9.4204487653443445E-06  -8.4866796270785716E-01   5.2888215346716616E-01   1.1616594526586699E-09  -7.5361066258911036E-10  -8.3414902036215069E-06   2.6865209977183100E-05
       5.702851   4.1299233647415711E-05   3.7476859555209295E-05  -3.8844113765801541E-01  -9.2144560475715664E-01   6.0647248681378052E-10   1.3571831661979283E-09   1.6115407635135490E-06  -2.9089921940408895E-05
       5.802901   1.5526115566470869E-05   5.5585447532216625E-05   9.7116674944902659E-01  -2.3828151874314224E-01  -1.5384181862448942E-09   4.1746979961496122E-10   5.7226421333670612E-06   2.9617736651822920E-05
       5.902951  -1.7051016330052111E-05   5.7197674791603360E-05   8.2160675003375913E-02   9.9658742077834350E-01  -1.8603121322048610E-10  -1.6982473934057385E-09  -1.3223205205534992E-05  -2.8293864480789767E-05
       6.003002  -4.6451642010269647E-05   4.0613690820354221E-05  -9.9707171505959102E-01  -7.6014871713731905E-02   1.8281524159086127E-09   8.7494783987396309E-11   2.0410000036602834E-05   2.5073227762559367E-05
       6.103052  -6.3011866469186938E-05   9.8770032205880017E-06   2.3228721118893103E-01  -9.7260771113675215E-01  -4.0051449526692928E-10   1.9182605018319698E-09  -2.6791024526462436E-05  -2.0030865879710149E-05
       6.203102  -6.0529067346717114E-05  -2.6130320211599890E-05   9.2380776598206416E-01   3.8274608602229032E-01  -1.9584991978877087E-09  -7.4722537359017682E-10   3.1895482893181000E-05   1.3365494245923510E-05
       6.303152  -3.8502285024541023E-05  -5.6222059672954923E-05  -5.2362674035078249E-01   8.5189318817845316E-01   1.1188067859310702E-09  -1.9401697470833312E-09  -3.5307072983833393E-05  -5.3953776984817130E-06
       6.403202  -2.6796620102599510E-06  -7.0359782659605116E-05  -7.5866367272502278E-01  -6.5140412742737597E-01   1.8568649656075520E-09   1.5046533932000505E-09   3.6695090002515234E-05  -3.4539755838431103E-06
       6.503252   3.6377740400700806E-05  -6.2964216093431007E-05   7.6288111847698181E-01  -6.4645226196468875E-01  -1.8936778915790153E-09   1.7041915760518389E-09  -3.5841131140933526E-05   1.2670302263926242E-05
       6.603302   6.6380993464442898E-05  -3.5004047475642035E-05   5.1806695966420158E-01   8.5526850532879473E-01  -1.4787994969192586E-09  -2.2746582655636116E-09   3.2659537344080161E-05  -2.1682633452286732E-05
       6.703352   7.7155581103579253E-05   5.8930899093566857E-06  -9.2625479465742555E-01   3.7672045931356224E-01   2.6354626831565087E-09  -1.1778699847073137E-09  -2.7210145845628010E-05   2.9895585051946309E-05
       6.803402   6.4046846221011642E-05   4.7469548760985623E-05  -2.2594974519323058E-01  -9.7406404711119321E-01   7.9986061784359519E-10   2.9620414610659340E-09   1.9702388439444715E-05  -3.6727880979230562E-05
       6.903452   2.9760991194740902E-05   7.6485595172109104E-05   9.9750031377427384E-01  -6.9527578236869586E-02  -3.2383918723705163E-09   3.4619780631649222E-10  -1.0490218807227585E-05   4.1652532452438822E-05
       7.003502  -1.6049520156912898E-05   8.2909169648126427E-05  -8.8631918151130987E-02   9.9597755781457942E-01   1.7730477632968420E-10  -3.4479465359227301E-09   5.7781359433218771E-08  -4.4235743039482020E-05
       7.103552  -5.9460181658622454E-05   6.3329341840773085E-05  -9.6953431241853560E-01  -2.4457120946632269E-01   3.5756250425789116E-09   7.6041316125763370E-10   1.1003837256541989E-05   4.4171537037702206E-05
       7.203602  -8.6482551813896880E-05   2.2446751240673783E-05   3.9438838724067871E-01  -9.1883270811749151E-01  -1.3898447054697116E-09   3.6091761905499009E-09  -2.2027975786571025E-05  -4.1309337153954793E-05
       7.303652  -8.7542303506145871E-05  -2.7953030635461427E-05   8.4514189380899518E-01   5.3433481330885535E-01  -3.5389998518514654E-09  -2.0509081785288763E-09   3.2310581970535287E-05   3.5672215031002952E-05
       7.403702  -6.0802186902022930E-05  -7.2360248430284962E-05  -6.6090892739078766E-01   7.5030626637938747E-01   2.7280692028314180E-09  -3.3569343294709286E-09  -4.1153362496303066E-05  -2.7464232225639600E-05
       7.503752  -1.3194797456586994E-05  -9.6290064804857676E-05  -6.3669930406620956E-01  -7.7094387016783072E-01   3.0554224740575453E-09   3.4040626723658152E-09   4.7909502885812587E-05   1.7066084660317543E-05
       7.603802   4.1297165750151283E-05  -9.0973258088351442E-05   8.6168672879118990E-01  -5.0716415904041168E-01  -4.0585161134587544E-09   2.6281978451198063E-09  -5.2029086526099422E-05  -5.0190658959057327E-06
       7.703852   8.5715749039867961E-05  -5.6479156389063245E-05   3.6494249612097701E-01   9.3086742141958401E-01  -2.0723400166039463E-09  -4.6676055295152841E-09   5.3101030209280395E-05  -8.0018995069972044E-06
       7.803902   1.0538092185233089E-04  -2.1817582389444218E-06  -9.7675549669808381E-01   2.1359335875582211E-01   5.2055071902284977E-09  -1.3903162687962933E-09  -5.0888289599841352E-05   2.1224771931283728E-05
       7.903952   9.2702145718466815E-05   5.5725983521303264E-05  -5.6904093050077965E-02  -9.9820342656706351E-01   5.9054170895803809E-10   5.6469302168321578E-09   4.5353329379497050E-05  -3.3824565121458337E-05
       8.004002   4.9982511438425488E-05   9.9032806662638497E-05   9.9467530886337807E-01   1.0120444055756465E-01  -5.9690842737353256E-09  -3.1381511755509961E-10  -3.6671410962647466E-05   4.4972850462011140E-05
       8.104052  -1.0789877730335314E-05   1.1321085856377149E-04  -2.5677599535604567E-01   9.6626026138307453E-01   1.3065712856259737E-09  -6.1519102589890906E-09   2.5230084331997603E-05  -5.3889934600787683E-05
       8.204102  -7.1255456774177274E-05   9.2240984778140054E-05  -9.1367017227652503E-01  -4.0591794992186048E-01   6.1769349479073865E-09   2.3691450442078765E-09  -1.1614291668035152E-05   5.9896765565756192E-05
       8.304152  -1.1220348341978699E-04   4.0972264101954688E-05   5.4489872480173873E-01  -8.3822186325125392E-01  -3.4794091705037111E-09   6.0263873370713927E-09  -3.4224181620243455E-06  -6.2463418190798886E-05
       8.404202  -1.1964767624398931E-04  -2.5865602491253140E-05   7.4180411226140230E-01   6.7024116585061622E-01  -5.6840805846836151E-09  -4.6098158935914402E-09   1.8999025661282410E-05   6.1250924934635187E-05
       8.504252  -8.9543914742243886E-05  -8.7851762523552353E-05  -7.7880955671849372E-01   6.2683036139431392E-01   5.7266768254543576E-09  -5.1380694386649051E-09  -3.4158103997725424E-05  -5.6143312771921109E-05
       8.604302  -2.9574883618993776E-05  -1.2508844919005541E-04  -4.9617829403464497E-01  -8.6788808246457805E-01   4.3835086810384283E-09   6.7917123071359331E-09   4.7923722678140212E-05   4.7267040538813009E-05
       8.704352   4.2713864362397645E-05  -1.2455680419347365E-04   9.3524878030079606E-01  -3.5311779411689115E-01  -7.7652086670487730E-09   3.4238563321326021E-09  -5.9362685792145930E-05  -3.4995642031364697E-05
       8.804402   1.0501096909881462E-04  -8.4593201205067115E-05   2.0122909113953580E-01   9.7920727666627316E-01  -2.2698766091559797E-09  -8.6088577030962732E-09   6.7645410989523549E-05   1.9938266052779808E-05
       8.904452   1.3710091177732397E-04  -1.5967101094392899E-05  -9.9866491562634896E-01   4.4313140322045037E-02   9.2867144720759631E-09  -9.3770089848281557E-10  -7.2102762688831926E-05  -2.9119133697664790E-06
       9.004502   1.2738762799644349E-04   6.0946449414833407E-05   1.1370351831405237E-01  -9.9313622431868886E-01  -5.5206299687943206E-10   9.7644241719985203E-09   7.2275317437422954E-05  -1.5101596793258937E-05
