#  Guess pulse generated by entanglement.pyc
#  Blackman pulse with E0 = 425 MHz
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  5.75287643821910955E+00  1.26404165173221372E+00  0.00000000000000000E+00
  5.85292646323161669E+00  1.30891883249588070E+00  0.00000000000000000E+00
  5.95297648824412207E+00  1.35460624134397767E+00  0.00000000000000000E+00
  6.05302651325662922E+00  1.40110572292461577E+00  0.00000000000000000E+00
  6.15307653826913459E+00  1.44841915093199902E+00  0.00000000000000000E+00
  6.25312656328164174E+00  1.49654842799560517E+00  0.00000000000000000E+00
  6.35317658829414711E+00  1.54549548556783445E+00  0.00000000000000000E+00
  6.45322661330665426E+00  1.59526228380975077E+00  0.00000000000000000E+00
  6.55327663831915963E+00  1.64585081147516865E+00  0.00000000000000000E+00
  6.65332666333166678E+00  1.69726308579296292E+00  0.00000000000000000E+00
  6.75337668834417215E+00  1.74950115234771486E+00  0.00000000000000000E+00
  6.85342671335667930E+00  1.80256708495854334E+00  0.00000000000000000E+00
  6.95347673836918467E+00  1.85646298555628930E+00  0.00000000000000000E+00
  7.05352676338169182E+00  1.91119098405897825E+00  0.00000000000000000E+00
  7.15357678839419719E+00  1.96675323824558324E+00  0.00000000000000000E+00
  7.25362681340670434E+00  2.02315193362799128E+00  0.00000000000000000E+00
  7.35367683841920972E+00  2.08038928332144568E+00  0.00000000000000000E+00
  7.45372686343171686E+00  2.13846752791317840E+00  0.00000000000000000E+00
  7.55377688844422224E+00  2.19738893532934965E+00  0.00000000000000000E+00
  7.65382691345672939E+00  2.25715580070036781E+00  0.00000000000000000E+00
  7.75387693846923476E+00  2.31777044622449324E+00  0.00000000000000000E+00
  7.85392696348174191E+00  2.37923522102989082E+00  0.00000000000000000E+00
  7.95397698849424728E+00  2.44155250103474675E+00  0.00000000000000000E+00
  8.05402701350675443E+00  2.50472468880607124E+00  0.00000000000000000E+00
  8.15407703851926158E+00  2.56875421341659793E+00  0.00000000000000000E+00
  8.25412706353176695E+00  2.63364353030016662E+00  0.00000000000000000E+00
