# OCT iter        615;   J_T =   9.481897831316E-03;   pulse_id =          3                                                                                                                                                                                   
#               time [ns]              abs(E) [au]          arg(E) [rad/pi]
   1.1984793917567028E+01   7.0766583571423458E-02   1.1205535532190997E-03
   1.2024809923969588E+01   6.7664266709799289E-02  -1.4017763278894338E-04
   1.2064825930372150E+01   6.4795337372870632E-02  -6.9960065539725908E-03
   1.2104841936774712E+01   6.2570769564052581E-02  -1.9438800474436871E-02
   1.2144857943177271E+01   6.1377096760685618E-02  -3.6362574458494022E-02
   1.2184873949579833E+01   6.1485545413413528E-02  -5.5456066577474372E-02
   1.2224889955982395E+01   6.2970765126490011E-02  -7.3727793450947071E-02
   1.2264905962384955E+01   6.5689542337893328E-02  -8.8484703652321584E-02
   1.2304921968787516E+01   6.9332991907745833E-02  -9.8096681741502698E-02
   1.2344937975190078E+01   7.3513600786784650E-02  -1.0212092035619731E-01
   1.2384953981592639E+01   7.7839883552280942E-02  -1.0096327325239217E-01
   1.2424969987995199E+01   8.1959897550617666E-02  -9.5458710815349082E-02
   1.2464985994397761E+01   8.5579335815000726E-02  -8.6578497894646583E-02
   1.2505002000800321E+01   8.8466271905860178E-02  -7.5285123590714279E-02
   1.2545018007202883E+01   9.0451436796410892E-02  -6.2486656932427324E-02
   1.2585034013605442E+01   9.1428539480438734E-02  -4.9042977053835042E-02
   1.2625050020008004E+01   9.1356274431839246E-02  -3.5793782956448500E-02
   1.2665066026410566E+01   9.0262185241293980E-02  -2.3591511756920126E-02
   1.2705082032813127E+01   8.8247832273895474E-02  -1.3327655352486737E-02
   1.2745098039215687E+01   8.5494167971251644E-02  -5.9390397847401896E-03
   1.2785114045618249E+01   8.2265098103247128E-02  -2.3721656343579679E-03
   1.2825130052020810E+01   7.8905274837414455E-02  -3.4716800953197395E-03
   1.2865146058423372E+01   7.5824907776238903E-02  -9.7566822911960664E-03
   1.2905162064825932E+01   7.3461325157335139E-02  -2.1089526354714158E-02
   1.2945178071228492E+01   7.2210027670805144E-02  -3.6363079497403313E-02
   1.2985194077631053E+01   7.2335235757043759E-02  -5.3478260354415663E-02
   1.3025210084033613E+01   7.3896757645238093E-02  -6.9823170138410565E-02
   1.3065226090436177E+01   7.6736334007935003E-02  -8.3070287493984873E-02
   1.3105242096838737E+01   8.0531180315406514E-02  -9.1783375473595497E-02
   1.3145258103241297E+01   8.4878707558497288E-02  -9.5527035633376764E-02
   1.3185274109643860E+01   8.9370258471895753E-02  -9.4608693461517665E-02
   1.3225290116046420E+01   9.3636267376327825E-02  -8.9739881189606213E-02
   1.3265306122448983E+01   9.7367067320333636E-02  -8.1785960463903407E-02
   1.3305322128851543E+01   1.0032013273451429E-01  -7.1632451425174964E-02
   1.3345338135254103E+01   1.0232221289015986E-01  -6.0135473871466553E-02
   1.3385354141656665E+01   1.0327084551949131E-01  -4.8118520502706381E-02
   1.3425370148059224E+01   1.0313688663780544E-01  -3.6389034161682203E-02
   1.3465386154461784E+01   1.0196809035109136E-01  -2.5758079875387453E-02
   1.3505402160864348E+01   9.9892877810471917E-02  -1.7050497483236979E-02
   1.3545418167266908E+01   9.7122688646346267E-02  -1.1091592433684464E-02
   1.3585434173669467E+01   9.3950226002091228E-02  -8.6516106576465940E-03
   1.3625450180072031E+01   9.0739179749664181E-02  -1.0326310896144096E-02
   1.3665466186474591E+01   8.7899054059355192E-02  -1.6343945810852478E-02
   1.3705482192877154E+01   8.5838798216201842E-02  -2.6335514781409497E-02
   1.3745498199279714E+01   8.4899507129281418E-02  -3.9186749651111658E-02
   1.3785514205682274E+01   8.5281780388745676E-02  -5.3137477323308542E-02
   1.3825530212084836E+01   8.6998065240788167E-02  -6.6187617089083370E-02
   1.3865546218487395E+01   8.9875274612313774E-02  -7.6630566726923019E-02
   1.3905562224889955E+01   9.3604883831253372E-02  -8.3417803453714481E-02
   1.3945578231292519E+01   9.7812383350533758E-02  -8.6214078806477454E-02
   1.3985594237695079E+01   1.0211763419301000E-01  -8.5232099291183416E-02
   1.4025610244097642E+01   1.0617424545156481E-01  -8.1011056998565423E-02
   1.4065626250500202E+01   1.0969041320363648E-01  -7.4242022083832793E-02
   1.4105642256902762E+01   1.1243861137853109E-01  -6.5665023563719407E-02
   1.4145658263305325E+01   1.1426042349673475E-01  -5.6022936662121950E-02
   1.4185674269707885E+01   1.1507007800045542E-01  -4.6049045142915641E-02
   1.4225690276110445E+01   1.1485795711749873E-01  -3.6469062826705541E-02
   1.4265706282513007E+01   1.1369383056402275E-01  -2.8003322700224844E-02
   1.4305722288915566E+01   1.1172854763743530E-01  -2.1357217157345086E-02
