# OCT iter         41;   J_T =   9.081251971854E-06;   pulse_id =          2                                                                                                                                                                                   
#               time [ns]              abs(E) [au]        phase(E) [rad/pi]
   9.6346346346346365E+00   6.3484285021612935E-02  -4.5560816130129307E-02
   9.6846846846846866E+00   6.2772159355802229E-02  -5.9923852732538321E-02
   9.7347347347347366E+00   6.1670183094183664E-02  -7.2773141832361429E-02
   9.7847847847847866E+00   6.0216837303879771E-02  -8.3844772285405017E-02
   9.8348348348348367E+00   5.8459063995386334E-02  -9.2831506390266674E-02
   9.8848848848848867E+00   5.6453802323002997E-02  -9.9372580629161752E-02
   9.9349349349349350E+00   5.4270360041839820E-02  -1.0304754017039487E-01
   9.9849849849849868E+00   5.1993589043781319E-02  -1.0338084459682245E-01
   1.0035035035035037E+01   4.9727510040084820E-02  -9.9869270470015190E-02
   1.0085085085085087E+01   4.7598390637534127E-02  -9.2050369128282128E-02
   1.0135135135135137E+01   4.5755218533385773E-02  -7.9632249328759383E-02
   1.0185185185185187E+01   4.4364253441003032E-02  -6.2689594324450273E-02
   1.0235235235235237E+01   4.3594013840789994E-02  -4.1880645861751033E-02
   1.0285285285285287E+01   4.3589828955882162E-02  -1.8562112386838657E-02
   1.0335335335335337E+01   4.4444032880195404E-02   5.3497480504351722E-03
   1.0385385385385387E+01   4.6174701266337277E-02   2.7798591781588382E-02
   1.0435435435435437E+01   4.8724054450774018E-02   4.7090254177198310E-02
   1.0485485485485487E+01   5.1976054379003371E-02   6.2203482831524444E-02
   1.0535535535535537E+01   5.5782258965035934E-02   7.2804790556511581E-02
   1.0585585585585587E+01   5.9984638901443663E-02   7.9068702892325524E-02
   1.0635635635635637E+01   6.4430431348945202E-02   8.1456860713931323E-02
   1.0685685685685687E+01   6.8979663567290780E-02   8.0545689019440883E-02
   1.0735735735735737E+01   7.3507982700563274E-02   7.6921742304405058E-02
   1.0785785785785787E+01   7.7907135357916768E-02   7.1130110657162557E-02
   1.0835835835835837E+01   8.2084529623307020E-02   6.3655475871992953E-02
