# OCT iter        711;   J_T =   9.957421717913E-04;   pulse_id =          1                                                                                                                                                                                   
#               time [ns]              abs(E) [au]        phase(E) [rad/pi]
   1.1786786786786790E+01   3.7141394366649116E-01   6.8142065322152001E-01
   1.1836836836836838E+01   3.1730086035718069E-01   8.0859775521144595E-01
   1.1886886886886888E+01   2.6791490121044553E-01   9.5934095860891677E-01
   1.1936936936936938E+01   2.3597389165120622E-01  -8.5926272839492401E-01
   1.1986986986986990E+01   2.3462621394678912E-01  -6.6007929028797796E-01
   1.2037037037037038E+01   2.6519398911498782E-01  -4.7661101085918067E-01
   1.2087087087087088E+01   3.1574862905010553E-01  -3.2526162505525269E-01
   1.2137137137137138E+01   3.7327256548813642E-01  -2.0029233359882403E-01
   1.2187187187187190E+01   4.2891994042654252E-01  -9.2217889796498129E-02
   1.2237237237237240E+01   4.7717790902042334E-01   5.7288221079447657E-03
   1.2287287287287288E+01   5.1459717306365171E-01   9.7833257756142045E-02
   1.2337337337337338E+01   5.3912504276531137E-01   1.8692188183827871E-01
   1.2387387387387390E+01   5.4981657448125243E-01   2.7506589298954004E-01
   1.2437437437437440E+01   5.4672075886995009E-01   3.6400795316124868E-01
   1.2487487487487490E+01   5.3084837481817182E-01   4.5544270587199565E-01
   1.2537537537537538E+01   5.0419114180779090E-01   5.5122985107108946E-01
   1.2587587587587588E+01   4.6979235874952907E-01   6.5355536158900240E-01
   1.2637637637637640E+01   4.3186703650479258E-01   7.6495196724422854E-01
   1.2687687687687690E+01   3.9589005030173402E-01   8.8787938667953326E-01
   1.2737737737737739E+01   3.6832178629835843E-01  -9.7667205555373615E-01
   1.2787787787787789E+01   3.5530399450041344E-01  -8.3154958333108897E-01
   1.2837837837837840E+01   3.6012852476314056E-01  -6.8436610320815106E-01
   1.2887887887887890E+01   3.8130843725909247E-01  -5.4391329897056051E-01
   1.2937937937937940E+01   4.1349309178777244E-01  -4.1519223121062465E-01
   1.2987987987987989E+01   4.5010701037674317E-01  -2.9859934889460249E-01
   1.3038038038038039E+01   4.8521084944805404E-01  -1.9215831508846767E-01
   1.3088088088088089E+01   5.1408068578513777E-01  -9.3425490666460970E-02
   1.3138138138138139E+01   5.3317701974501563E-01  -2.5882831925385085E-04
   1.3188188188188189E+01   5.3999494218310162E-01   8.9057121769871989E-02
   1.3238238238238241E+01   5.3295318569853323E-01   1.7590955623199528E-01
   1.3288288288288291E+01   5.1133485494823327E-01   2.6151253419980997E-01
   1.3338338338338337E+01   4.7525952993908377E-01   3.4709377436509742E-01
   1.3388388388388387E+01   4.2567353262769403E-01   4.3416911800651342E-01
   1.3438438438438439E+01   3.6437274558890143E-01   5.2507515232110369E-01
   1.3488488488488489E+01   2.9414506875798413E-01   6.2426295548749378E-01
   1.3538538538538539E+01   2.1938611497931745E-01   7.4207352055379738E-01
   1.3588588588588589E+01   1.4881154420495574E-01   9.0706510744400515E-01
   1.3638638638638639E+01   1.0639709888946973E-01  -8.1735725876178378E-01
   1.3688688688688691E+01   1.2736851351324602E-01  -5.0503406613440416E-01
   1.3738738738738741E+01   1.8754856553634047E-01  -3.1216211141358452E-01
   1.3788788788788787E+01   2.5405214306907625E-01  -1.8530812842684263E-01
   1.3838838838838839E+01   3.1515117316312352E-01  -8.4098739604658287E-02
   1.3888888888888889E+01   3.6593736672312915E-01   5.9198085092129118E-03
   1.3938938938938939E+01   4.0371266473307943E-01   9.0710864547581038E-02
   1.3988988988988989E+01   4.2695114322748001E-01   1.7332606357561728E-01
   1.4039039039039039E+01   4.3504398130253835E-01   2.5573823341333052E-01
   1.4089089089089089E+01   4.2824644088643354E-01   3.3959559228064468E-01
   1.4139139139139141E+01   4.0769142834717653E-01   4.2666445726401420E-01
   1.4189189189189191E+01   3.7545016010041432E-01   5.1924284254250663E-01
   1.4239239239239238E+01   3.3468154607892953E-01   6.2069728754143993E-01
   1.4289289289289290E+01   2.8997544559621385E-01   7.3615172808238383E-01
   1.4339339339339340E+01   2.4800080299304264E-01   8.7269790857189067E-01
   1.4389389389389390E+01   2.1801773714937334E-01  -9.6400367256909758E-01
   1.4439439439439440E+01   2.0962512447992571E-01  -7.8123121685178865E-01
   1.4489489489489490E+01   2.2548776595637607E-01  -6.0381217012910748E-01
   1.4539539539539541E+01   2.5835527806562636E-01  -4.5038583965654383E-01
   1.4589589589589592E+01   2.9806099632792576E-01  -3.2090311032039748E-01
   1.4639639639639642E+01   3.3678520582025928E-01  -2.0826770200871209E-01
   1.4689689689689692E+01   3.6937620528581350E-01  -1.0629869722745316E-01
   1.4739739739739740E+01   3.9246544140168671E-01  -1.0948817199883913E-02
   1.4789789789789790E+01   4.0384985908430315E-01   8.0251613611386760E-02
   1.4839839839839840E+01   4.0218916202726585E-01   1.6877404749714697E-01
   1.4889889889889890E+01   3.8687545651239680E-01   2.5546106579737848E-01
   1.4939939939939940E+01   3.5797629761915717E-01   3.4073546659262421E-01
   1.4989989989989992E+01   3.1619530781743410E-01   4.2469956363949374E-01
   1.5040040040040042E+01   2.6282288055440373E-01   5.0712345351168608E-01
   1.5090090090090092E+01   1.9967116578120642E-01   5.8718227611172702E-01
   1.5140140140140142E+01   1.2901190774391352E-01   6.6202777941152546E-01
   1.5190190190190190E+01   5.3692023952393052E-02   7.1262787686628926E-01
   1.5240240240240240E+01   2.6509860839365323E-02  -4.3913665316573140E-02
   1.5290290290290290E+01   1.0235105402061187E-01  -4.5772407620920323E-02
   1.5340340340340340E+01   1.7513539284873472E-01   2.1363511848942907E-02
   1.5390390390390390E+01   2.4080374308677188E-01   9.4630834763127947E-02
   1.5440440440440442E+01   2.9627274533518311E-01   1.6920329600281969E-01
