#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
       9.507923   1.6464619729171909E-03   1.7694954355524962E-03   3.0262865389583119E-02   3.2204823789381873E-02   3.1426672129724463E-02  -2.3012663270847090E-02   4.5384559379936873E-01  -5.5958907120329204E-01
       9.608007   1.6630413520841380E-03   1.7900538393623145E-03  -3.6603063245968223E-02   2.5177202495296425E-02   8.6939780533232466E-03   3.7966962647094100E-02  -6.7726884843380808E-01   2.3462231476146050E-01
       9.708090   1.7229211192057400E-03   1.8159408536203314E-03  -1.9959188289175204E-02  -4.0008344009644065E-02  -3.8687825125483133E-02  -6.9477637758591677E-03   6.9464861778883835E-01   1.5832695450550999E-01
       9.808173   1.8304624045154599E-03   1.8329711861055898E-03   4.2516880758103184E-02  -1.4771687670459612E-02   2.1602771817457192E-02  -3.3561534286894908E-02  -5.0158627355918484E-01  -4.9836417879817740E-01
       9.908257   1.9643253853963223E-03   1.8260538787135104E-03   9.5459409908578343E-03   4.4275659157158413E-02   2.3293193746391529E-02   3.3147370266079432E-02   1.6063054026299675E-01   6.8218350841002606E-01
      10.008340   2.0863542905745327E-03   1.7896753765458677E-03  -4.5313309408144528E-02   4.0642054878345726E-03  -3.9805107821461572E-02   9.2745691279919294E-03   2.2171230409041562E-01  -6.5821961972217391E-01
      10.108424   2.1626890158559179E-03   1.7347187605567156E-03   1.8539530929727137E-03  -4.5501339325792672E-02   6.4744355243929316E-03  -4.0395586450027797E-02  -5.3125402033012348E-01   4.3888261844225351E-01
      10.208507   2.1840257849000187E-03   1.6838959505122747E-03   4.4657138774437832E-02   8.2034989477863841E-03   3.4616700055702755E-02   2.1515842280443943E-02   6.7865939836692546E-01  -9.1845011554610556E-02
      10.308590   2.1697978782077797E-03   1.6581052012718687E-03  -1.4773245841355854E-02   4.2688969070952647E-02  -3.3369672017477571E-02   2.3214389596579340E-02  -6.2129016942161441E-01  -2.7987452616153763E-01
      10.408674   2.1539657249774963E-03   1.6653938747681321E-03  -3.9674942146429595E-02  -2.1248326341875314E-02  -7.9485527294015455E-03  -3.9976529616507002E-02   3.7571974030381938E-01   5.6409210819128264E-01
      10.508757   2.1649720802414014E-03   1.6998536753275114E-03   2.7358230156658409E-02  -3.5822602704645816E-02   4.0139647478584783E-02   8.6734820027661638E-03  -1.7721914595462358E-02  -6.7260725358266116E-01
      10.608841   2.2131685260495656E-03   1.7468861260125706E-03   3.1339163590678246E-02   3.2956781996640726E-02  -2.3867397598588164E-02   3.3812775314206948E-02  -3.3936471625387266E-01   5.7340646600724132E-01
      10.708924   2.2894297139394834E-03   1.7891840103447989E-03  -3.7972567006044816E-02   2.6318559934374944E-02  -2.2113523298677398E-02  -3.5134367895713392E-02   5.8499717026337061E-01  -3.0287606387781241E-01
      10.809008   2.3721521996694526E-03   1.8125569366941961E-03  -2.0738658800143167E-02  -4.2289990748547945E-02   4.0737338688346461E-02  -7.0388262710213388E-03  -6.4934882565387542E-01  -5.0992018258170957E-02
      10.909091   2.4390860527228331E-03   1.8116893528236434E-03   4.5681960721630485E-02  -1.4559958105939403E-02  -8.9917559461122430E-03   3.9933535840561363E-02   5.2024822396534098E-01   3.8155471854570566E-01
      11.009174   2.4796629140677023E-03   1.7920127512244801E-03   7.8399180782032785E-03   4.7856298013447304E-02  -3.2948831732807084E-02  -2.3556217462974205E-02  -2.3969835584171506E-01  -5.9409484163271886E-01
      11.109258   2.5003943363365918E-03   1.7641859291541487E-03  -4.8582872863496752E-02   7.8310573846523436E-04   3.4499635646709721E-02  -2.0832590280043251E-02  -1.0953213596186220E-01   6.2778330808128358E-01
      11.209341   2.5178494915970820E-03   1.7357301810172119E-03   6.3065933453602691E-03  -4.7814551582819116E-02   5.3278676866389731E-03   4.0115156710211548E-02   4.2343061718585884E-01  -4.7190011936721665E-01
      11.309425   2.5445564810281144E-03   1.7083514002819433E-03   4.5712081828976098E-02   1.3145792730412187E-02  -3.9362098017743534E-02  -1.1246820707140830E-02  -6.0542073713521527E-01   1.7362315164031769E-01
      11.409508   2.5802804175144652E-03   1.6818013402278406E-03  -1.9573284865691105E-02   4.2544912066107159E-02   2.6228613401778463E-02  -3.2146295220572330E-02   5.9976359770447485E-01   1.7300608559825634E-01
      11.509591   2.6146072378028825E-03   1.6578134847158770E-03  -3.8546428872689997E-02  -2.5545438841647200E-02   1.9515611234333596E-02   3.7055272910102098E-02  -4.1263383615200244E-01  -4.5956468909379156E-01
      11.609675   2.6364336329912550E-03   1.6402228620696572E-03   3.1035521812928273E-02  -3.3841821022089186E-02  -4.1834048126114527E-02   3.5591088113649319E-03   1.0693652952552107E-01   6.0174434424380385E-01
      11.709758   2.6429340003207040E-03   1.6325161157769461E-03   2.8487590644040335E-02   3.5934193903911435E-02   1.3028517304697600E-02  -3.9771160169240830E-02   2.2371408431274717E-01  -5.6320688655980800E-01
