# OCT iter       1000;   J_T =   5.367238810491E-03;   pulse_id =          1                                                                                                                                                                                   
#               time [ns]              abs(E) [au]        phase(E) [rad/pi]
   5.8183183183183180E+00   1.7063539467232056E-03  -1.6250428131239550E-01
   5.8933933933933940E+00   1.7531963012854751E-03  -1.6254554461366266E-01
   5.9684684684684690E+00   1.8012081326279673E-03  -1.6258681977477796E-01
   6.0435435435435441E+00   1.8504175112626811E-03  -1.6262834670951928E-01
   6.1186186186186191E+00   1.9008532496429219E-03  -1.6267025967686910E-01
   6.1936936936936942E+00   1.9525446530842996E-03  -1.6271259510386180E-01
   6.2687687687687692E+00   2.0055212944324386E-03  -1.6275530913069108E-01
   6.3438438438438443E+00   2.0598128435012292E-03  -1.6279830093781922E-01
   6.4189189189189193E+00   2.1154489724626909E-03  -1.6284143701221707E-01
   6.4939939939939944E+00   2.1724593429411892E-03  -1.6288457172923945E-01
   6.5690690690690685E+00   2.2308736634802785E-03  -1.6292756102812650E-01
   6.6441441441441436E+00   2.2907217921491478E-03  -1.6297026820254121E-01
   6.7192192192192195E+00   2.3520338525176679E-03  -1.6301256327117258E-01
   6.7942942942942937E+00   2.4148403341318122E-03  -1.6305431929921993E-01
   6.8693693693693687E+00   2.4791721601206975E-03  -1.6309540981403906E-01
   6.9444444444444446E+00   2.5450607210037450E-03  -1.6313571084460213E-01
   7.0195195195195188E+00   2.6125378897088646E-03  -1.6317510929196466E-01
   7.0945945945945939E+00   2.6816360427468844E-03  -1.6321351686968447E-01
   7.1696696696696698E+00   2.7523881126314473E-03  -1.6325088651546832E-01
   7.2447447447447439E+00   2.8248276862966964E-03  -1.6328722671925791E-01
   7.3198198198198190E+00   2.8989891462555982E-03  -1.6332260912898119E-01
   7.3948948948948949E+00   2.9749078311856539E-03  -1.6335716615739124E-01
   7.4699699699699700E+00   3.0526201772974946E-03  -1.6339107775216521E-01
   7.5450450450450441E+00   3.1321637970235716E-03  -1.6342454930252098E-01
   7.6201201201201201E+00   3.2135774601142891E-03  -1.6345778501370811E-01
   7.6951951951951951E+00   3.2969009629387242E-03  -1.6349096228886248E-01
   7.7702702702702693E+00   3.3821748994778029E-03  -1.6352421236071055E-01
   7.8453453453453452E+00   3.4694403744015348E-03  -1.6355761070549138E-01
   7.9204204204204212E+00   3.5587387166303767E-03  -1.6359117816063509E-01
   7.9954954954954944E+00   3.6501112549829789E-03  -1.6362489093023375E-01
   8.0705705705705704E+00   3.7435992041310209E-03  -1.6365869559868979E-01
   8.1456456456456454E+00   3.8392436822672080E-03  -1.6369252446572116E-01
   8.2207207207207205E+00   3.9370858489742909E-03  -1.6372630715406675E-01
   8.2957957957957955E+00   4.0371671221978564E-03  -1.6375997626748798E-01
   8.3708708708708706E+00   4.1395294156839615E-03  -1.6379346727121236E-01
   8.4459459459459456E+00   4.2442153379876292E-03  -1.6382671494476056E-01
   8.5210210210210207E+00   4.3512683112235367E-03  -1.6385965001427583E-01
   8.5960960960960957E+00   4.4607325967451475E-03  -1.6389219950453457E-01
   8.6711711711711708E+00   4.5726532466505284E-03  -1.6392429298333180E-01
   8.7462462462462458E+00   4.6870760241053367E-03  -1.6395587464438396E-01
   8.8213213213213209E+00   4.8040473438347320E-03  -1.6398691881215710E-01
   8.8963963963963959E+00   4.9236142735737164E-03  -1.6401744473023130E-01
   8.9714714714714709E+00   5.0458246107520886E-03  -1.6404752600245465E-01
   9.0465465465465460E+00   5.1707270147022541E-03  -1.6407729100589699E-01
