# OCT iter       1000;   J_T =   5.367238810491E-03;   pulse_id =          1                                                                                                                                                                                   
#               time [ns]        phase(E) [rad/pi]
   1.2575075075075075E+01  -1.6602561688420522E-01
   1.2650150150150150E+01  -1.6608396473609741E-01
   1.2725225225225225E+01  -1.6614345839563030E-01
   1.2800300300300300E+01  -1.6620403589386065E-01
   1.2875375375375375E+01  -1.6626556163719855E-01
   1.2950450450450450E+01  -1.6632784033186193E-01
   1.3025525525525527E+01  -1.6639064146490587E-01
   1.3100600600600600E+01  -1.6645372864286495E-01
   1.3175675675675677E+01  -1.6651688703386153E-01
   1.3250750750750752E+01  -1.6657994298355253E-01
   1.3325825825825826E+01  -1.6664277232497077E-01
   1.3400900900900902E+01  -1.6670529723890293E-01
   1.3475975975975977E+01  -1.6676747474034972E-01
   1.3551051051051051E+01  -1.6682928199925601E-01
   1.3626126126126128E+01  -1.6689070411184243E-01
   1.3701201201201203E+01  -1.6695172851135934E-01
   1.3776276276276276E+01  -1.6701234740246335E-01
   1.3851351351351353E+01  -1.6707256631666006E-01
   1.3926426426426428E+01  -1.6713241418222294E-01
   1.4001501501501501E+01  -1.6719194908964427E-01
   1.4076576576576578E+01  -1.6725125467964080E-01
   1.4151651651651653E+01  -1.6731042465156057E-01
   1.4226726726726726E+01  -1.6736953657311962E-01
   1.4301801801801803E+01  -1.6742861987492072E-01
   1.4376876876876878E+01  -1.6748762548332807E-01
   1.4451951951951951E+01  -1.6754640512078103E-01
   1.4527027027027028E+01  -1.6760470658515356E-01
   1.4602102102102103E+01  -1.6766218768551788E-01
   1.4677177177177180E+01  -1.6771844692645207E-01
   1.4752252252252253E+01  -1.6777306478328105E-01
   1.4827327327327328E+01  -1.6782564672971295E-01
   1.4902402402402405E+01  -1.6787585887643977E-01
   1.4977477477477478E+01  -1.6792344928108499E-01
   1.5052552552552553E+01  -1.6796825208235350E-01
   1.5127627627627630E+01  -1.6801017640090243E-01
   1.5202702702702704E+01  -1.6804918600711449E-01
   1.5277777777777779E+01  -1.6808527784342273E-01
   1.5352852852852855E+01  -1.6811846694264329E-01
   1.5427927927927930E+01  -1.6814878223948945E-01
   1.5503003003003004E+01  -1.6817627315391132E-01
   1.5578078078078081E+01  -1.6820102209198257E-01
   1.5653153153153156E+01  -1.6822315472858018E-01
   1.5728228228228229E+01  -1.6824283929399214E-01
   1.5803303303303306E+01  -1.6826026850145928E-01
   1.5878378378378381E+01  -1.6827562269686228E-01
   1.5953453453453454E+01  -1.6828901892178658E-01
   1.6028528528528533E+01  -1.6830045602962981E-01
   1.6103603603603606E+01  -1.6830976902730593E-01
   1.6178678678678679E+01  -1.6831660529610973E-01
   1.6253753753753756E+01  -1.6832043114253625E-01
   1.6328828828828829E+01  -1.6832057021843458E-01
   1.6403903903903906E+01  -1.6831626758048485E-01
   1.6478978978978983E+01  -1.6830676674208078E-01
   1.6554054054054056E+01  -1.6829138392045054E-01
   1.6629129129129129E+01  -1.6826956480980065E-01
   1.6704204204204206E+01  -1.6824091437177427E-01
   1.6779279279279280E+01  -1.6820519783863694E-01
   1.6854354354354356E+01  -1.6816231904827530E-01
   1.6929429429429433E+01  -1.6811228790251254E-01
   1.7004504504504506E+01  -1.6805519031553243E-01
   1.7079579579579580E+01  -1.6799117089410859E-01
   1.7154654654654657E+01  -1.6792043166668769E-01
   1.7229729729729730E+01  -1.6784324165899270E-01
   1.7304804804804807E+01  -1.6775994488210133E-01
   1.7379879879879883E+01  -1.6767095102566637E-01
   1.7454954954954957E+01  -1.6757669541249604E-01
   1.7530030030030030E+01  -1.6747756246166096E-01
   1.7605105105105107E+01  -1.6737377813359960E-01
   1.7680180180180180E+01  -1.6726528838191346E-01
   1.7755255255255257E+01  -1.6715164889817305E-01
   1.7830330330330334E+01  -1.6703195349343025E-01
   1.7905405405405407E+01  -1.6690482305938020E-01
   1.7980480480480480E+01  -1.6676846510995982E-01
   1.8055555555555557E+01  -1.6662079837639079E-01
   1.8130630630630630E+01  -1.6645962202718650E-01
   1.8205705705705707E+01  -1.6628279904742249E-01
   1.8280780780780784E+01  -1.6608842108555594E-01
   1.8355855855855857E+01  -1.6587492833540635E-01
   1.8430930930930931E+01  -1.6564117086599883E-01
   1.8506006006006007E+01  -1.6538641327769421E-01
   1.8581081081081084E+01  -1.6511029781574307E-01
   1.8656156156156158E+01  -1.6481278793125001E-01
   1.8731231231231234E+01  -1.6449411259543245E-01
   1.8806306306306308E+01  -1.6415472211459417E-01
   1.8881381381381381E+01  -1.6379525216379731E-01
   1.8956456456456458E+01  -1.6341647941563411E-01
   1.9031531531531535E+01  -1.6301924478638249E-01
   1.9106606606606608E+01  -1.6260432262280236E-01
   1.9181681681681685E+01  -1.6217222678823084E-01
   1.9256756756756758E+01  -1.6172296479180795E-01
   1.9331831831831831E+01  -1.6125577321105039E-01
   1.9406906906906908E+01  -1.6076888478368243E-01
   1.9481981981981985E+01  -1.6025938359929676E-01
   1.9557057057057058E+01  -1.5972319649726241E-01
   1.9632132132132135E+01  -1.5915524679398727E-01
   1.9707207207207208E+01  -1.5854976564652831E-01
   1.9782282282282281E+01  -1.5790072444007905E-01
   1.9857357357357358E+01  -1.5720232699660538E-01
   1.9932432432432435E+01  -1.5644948971885722E-01
   2.0007507507507508E+01  -1.5563824364716639E-01
   2.0082582582582585E+01  -1.5476601263041154E-01
   2.0157657657657658E+01  -1.5383175004033114E-01
   2.0232732732732732E+01  -1.5283594416863044E-01
   2.0307807807807809E+01  -1.5178052165877581E-01
   2.0382882882882885E+01  -1.5066868413570375E-01
   2.0457957957957959E+01  -1.4950470533787130E-01
   2.0533033033033036E+01  -1.4829369898590095E-01
   2.0608108108108109E+01  -1.4704134910091721E-01
   2.0683183183183182E+01  -1.4575358303738190E-01
   2.0758258258258259E+01  -1.4443616951722549E-01
   2.0833333333333336E+01  -1.4309424138657120E-01
   2.0908408408408409E+01  -1.4173177215522326E-01
   2.0983483483483486E+01  -1.4035106838092964E-01
   2.1058558558558559E+01  -1.3895236591967042E-01
   2.1133633633633632E+01  -1.3753362699353694E-01
   2.1208708708708709E+01  -1.3609062084056534E-01
   2.1283783783783786E+01  -1.3461733343819179E-01
   2.1358858858858859E+01  -1.3310669811814566E-01
   2.1433933933933936E+01  -1.3155158068163822E-01
   2.1509009009009009E+01  -1.2994590372856754E-01
   2.1584084084084083E+01  -1.2828576714053055E-01
   2.1659159159159163E+01  -1.2657042122638532E-01
   2.1734234234234236E+01  -1.2480297477721548E-01
   2.1809309309309310E+01  -1.2299076421269821E-01
   2.1884384384384386E+01  -1.2114536011879100E-01
   2.1959459459459460E+01  -1.1928223161066882E-01
   2.2034534534534536E+01  -1.1742011842956035E-01
   2.2109609609609613E+01  -1.1558017255948581E-01
   2.2184684684684687E+01  -1.1378492849918674E-01
   2.2259759759759760E+01  -1.1205715160463067E-01
   2.2334834834834837E+01  -1.1041860608956176E-01
   2.2409909909909910E+01  -1.0888878556416670E-01
   2.2484984984984987E+01  -1.0748366229604525E-01
   2.2560060060060064E+01  -1.0621453404336278E-01
   2.2635135135135137E+01  -1.0508707170859752E-01
   2.2710210210210210E+01  -1.0410068676432567E-01
   2.2785285285285287E+01  -1.0324833437183603E-01
   2.2860360360360360E+01  -1.0251684001772339E-01
   2.2935435435435437E+01  -1.0188778419826221E-01
   2.3010510510510514E+01  -1.0133890810905266E-01
   2.3085585585585587E+01  -1.0084592622023308E-01
   2.3160660660660660E+01  -1.0038456453046071E-01
   2.3235735735735737E+01  -9.9932600223022042E-02
   2.3310810810810811E+01  -9.9471668096706697E-02
   2.3385885885885887E+01  -9.8988622785322097E-02
   2.3460960960960964E+01  -9.8476297675910360E-02
   2.3536036036036037E+01  -9.7933571452978929E-02
   2.3611111111111111E+01  -9.7364730305929084E-02
   2.3686186186186188E+01  -9.6778188884014682E-02
   2.3761261261261261E+01  -9.6184699716784214E-02
   2.3836336336336338E+01  -9.5595234564932893E-02
   2.3911411411411414E+01  -9.5018757703405898E-02
   2.3986486486486488E+01  -9.4460125334160025E-02
   2.4061561561561565E+01  -9.3918332250080408E-02
   2.4136636636636638E+01  -9.3385284763508561E-02
   2.4211711711711711E+01  -9.2845212601138469E-02
   2.4286786786786788E+01  -9.2274754809932136E-02
   2.4361861861861865E+01  -9.1643684096919337E-02
   2.4436936936936938E+01  -9.0916187877273930E-02
   2.4512012012012015E+01  -9.0052611223209900E-02
   2.4587087087087088E+01  -8.9011581349771565E-02
   2.4662162162162161E+01  -8.7752456255434347E-02
   2.4737237237237242E+01  -8.6238046522224693E-02
   2.4812312312312315E+01  -8.4437529003364681E-02
   2.4887387387387388E+01  -8.2329399532183031E-02
   2.4962462462462465E+01  -7.9904214545125460E-02
   2.5037537537537538E+01  -7.7166781739805138E-02
   2.5112612612612615E+01  -7.4137418185135653E-02
   2.5187687687687692E+01  -7.0851934956686680E-02
   2.5262762762762765E+01  -6.7360145127895538E-02
   2.5337837837837839E+01  -6.3722913354892358E-02
   2.5412912912912915E+01  -6.0008027532153660E-02
   2.5487987987987989E+01  -5.6285411615999467E-02
   2.5563063063063066E+01  -5.2622343975559614E-02
   2.5638138138138142E+01  -4.9079344701188486E-02
   2.5713213213213216E+01  -4.5707234170116580E-02
   2.5788288288288289E+01  -4.2545581422626357E-02
   2.5863363363363366E+01  -3.9622438750352727E-02
   2.5938438438438439E+01  -3.6955003446171648E-02
   2.6013513513513512E+01  -3.4550745207896499E-02
   2.6088588588588589E+01  -3.2408618052281173E-02
   2.6163663663663659E+01  -3.0520194715489047E-02
   2.6238738738738736E+01  -2.8870814797358757E-02
   2.6313813813813812E+01  -2.7441001215391191E-02
   2.6388888888888886E+01  -2.6208382206325626E-02
   2.6463963963963963E+01  -2.5150144540218165E-02
   2.6539039039039039E+01  -2.4245715866778747E-02
   2.6614114114114109E+01  -2.3479075356281544E-02
   2.6689189189189186E+01  -2.2839975933737815E-02
   2.6764264264264263E+01  -2.2323521851313564E-02
   2.6839339339339336E+01  -2.1927966633283159E-02
   2.6914414414414413E+01  -2.1651150596149200E-02
   2.6989489489489490E+01  -2.1486487755393958E-02
   2.7064564564564559E+01  -2.1419647826441061E-02
   2.7139639639639636E+01  -2.1426950139581971E-02
   2.7214714714714713E+01  -2.1476014080800260E-02
   2.7289789789789786E+01  -2.1528551166100543E-02
   2.7364864864864863E+01  -2.1544573250954484E-02
   2.7439939939939940E+01  -2.1486948498993866E-02
   2.7515015015015010E+01  -2.1325265644808720E-02
   2.7590090090090087E+01  -2.1038313067575212E-02
   2.7665165165165163E+01  -2.0614965035619978E-02
   2.7740240240240237E+01  -2.0053688257981667E-02
   2.7815315315315313E+01  -1.9361102401004637E-02
   2.7890390390390390E+01  -1.8550032135123462E-02
   2.7965465465465460E+01  -1.7637361704224152E-02
   2.8040540540540537E+01  -1.6641871711839694E-02
   2.8115615615615614E+01  -1.5582195068892727E-02
   2.8190690690690687E+01  -1.4475089708790748E-02
   2.8265765765765764E+01  -1.3334325442520022E-02
   2.8340840840840841E+01  -1.2170518579041213E-02
   2.8415915915915910E+01  -1.0992139185949885E-02
   2.8490990990990987E+01  -9.8076491015469530E-03
   2.8566066066066067E+01  -8.6283718041466322E-03
   2.8641141141141137E+01  -7.4713699093887495E-03
   2.8716216216216214E+01  -6.3614387297214331E-03
   2.8791291291291291E+01  -5.3313979305800209E-03
   2.8866366366366361E+01  -4.4201903760687682E-03
   2.8941441441441441E+01  -3.6688173199786542E-03
   2.9016516516516518E+01  -3.1147326873232823E-03
   2.9091591591591595E+01  -2.7858302140394853E-03
   2.9166666666666664E+01  -2.6954237682832987E-03
   2.9241741741741741E+01  -2.8395190336846193E-03
   2.9316816816816818E+01  -3.1971695352601805E-03
   2.9391891891891891E+01  -3.7338971074804494E-03
   2.9466966966966968E+01  -4.4072579301760000E-03
   2.9542042042042045E+01  -5.1729337374620413E-03
   2.9617117117117115E+01  -5.9894632023096651E-03
   2.9692192192192191E+01  -6.8200014627258620E-03
   2.9767267267267268E+01  -7.6302384200513437E-03
   2.9842342342342342E+01  -8.3826315126408826E-03
   2.9917417417417418E+01  -9.0281988806306720E-03
   2.9992492492492495E+01  -9.4980938859024078E-03
   3.0067567567567565E+01  -9.6978996297018213E-03
   3.0142642642642642E+01  -9.5078791808283492E-03
   3.0217717717717719E+01  -8.7920466991572143E-03
   3.0292792792792792E+01  -7.4175746304890227E-03
   3.0367867867867869E+01  -5.2835138053387559E-03
   3.0442942942942945E+01  -2.3542765107509855E-03
   3.0518018018018015E+01   1.3102673663786765E-03
   3.0593093093093092E+01   5.5382335330513652E-03
   3.0668168168168169E+01   1.0051387961050937E-02
   3.0743243243243242E+01   1.4495945998388488E-02
   3.0818318318318319E+01   1.8492918867593605E-02
   3.0893393393393396E+01   2.1695146956464666E-02
   3.0968468468468465E+01   2.3836172109050063E-02
   3.1043543543543542E+01   2.4760443267557213E-02
   3.1118618618618619E+01   2.4432146046427131E-02
   3.1193693693693692E+01   2.2926766815467910E-02
   3.1268768768768769E+01   2.0412570506266259E-02
   3.1343843843843846E+01   1.7128562614919449E-02
   3.1418918918918916E+01   1.3363032746582518E-02
   3.1493993993993993E+01   9.4342576103792746E-03
   3.1569069069069069E+01   5.6732598370169713E-03
   3.1644144144144143E+01   2.4076900886336422E-03
   3.1719219219219219E+01  -5.4410149109948085E-05
   3.1794294294294296E+01  -1.4422638370400755E-03
   3.1869369369369366E+01  -1.5425852008314862E-03
   3.1944444444444443E+01  -2.2299192407945238E-04
   3.2019519519519520E+01   2.5422083108316293E-03
   3.2094594594594589E+01   6.6476088537280233E-03
   3.2169669669669666E+01   1.1841830696377504E-02
   3.2244744744744743E+01   1.7734102994150090E-02
   3.2319819819819820E+01   2.3832843895544582E-02
   3.2394894894894897E+01   2.9616561636923340E-02
   3.2469969969969974E+01   3.4621081686328652E-02
   3.2545045045045043E+01   3.8515328398296626E-02
   3.2620120120120120E+01   4.1140704786854727E-02
