#        t [ns]                  pop[00]                  pop[01]                  pop[10]                  pop[11]
       8.404202   3.0451853561666085E-03   9.9027873390235965E-01   2.1329724130194218E-05   2.0408379509261974E-03
       8.604302   2.8648295402636890E-03   9.8831914538225674E-01   5.0037220083052760E-06   2.7144361645975159E-03
       8.804402   2.6489110460110547E-03   9.8590156620930358E-01   1.0464240997472902E-05   3.5401781580599845E-03
       9.004502   2.4214070218313895E-03   9.8295369353984763E-01   3.5706971671317226E-05   4.5341858572621341E-03
       9.204602   2.2117729666832654E-03   9.7940932583926987E-01   7.7195286942168060E-05   5.7089030061334405E-03
       9.404702   2.0537277736108902E-03   9.7521628181789932E-01   1.3046732325773945E-04   7.0706349459621013E-03
       9.604802   1.9835661048364368E-03   9.7034560681194970E-01   1.9085367354137594E-04   8.6168953172983676E-03
       9.804902   2.0380635317323223E-03   9.6480143646587191E-01   2.5417015039969835E-04   1.0333879230832260E-02
      10.005003   2.2521825966284451E-03   9.5863018951633217E-01   3.1724360623242676E-04   1.2194546051152349E-02
      10.205103   2.6569454430529355E-03   9.5192697870371112E-01   3.7816991437995308E-04   1.4157908049636368E-02
      10.405203   3.2778833363576150E-03   9.4483698885119338E-01   4.3628099827311401E-04   1.6170007302311259E-02
      10.605303   4.1343028794830526E-03   9.3755058682955050E-01   4.9187092643202782E-04   1.8166662307470747E-02
      10.805403   5.2393074882342511E-03   9.3029257595522341E-01   5.4576669001573015E-04   2.0077589357677943E-02
      11.005503   6.6002749469073006E-03   9.2330712950022353E-01   5.9883511757823191E-04   2.1831264231654754E-02
      11.205603   8.2193784975171987E-03   9.1684018411145085E-01   6.5151411995813019E-04   2.3359940332435689E-02
      11.405703   1.0093708924259887E-02   9.1112125258119070E-01   7.0344290910645828E-04   2.4604318767753031E-02
      11.605803   1.2214719020571169E-02   9.0634712266720119E-01   7.5324663238687491E-04   2.5517300876808625E-02
      11.805903   1.4567180005660594E-02   9.0266972288470815E-01   7.9853273616054465E-04   2.6066274389054910E-02
      12.006003   1.7128251432604134E-02   9.0018877658726915E-01   8.3616174200827772E-04   2.6233809496004640E-02
      12.206103   1.9867036273200932E-02   8.9894809209824400E-01   8.6279063443608624E-04   2.6017280192289542E-02
      12.406203   2.2744301605658504E-02   8.9893449844737350E-01   8.7555602459776175E-04   2.5428128254419587E-02
      12.606303   2.5711903334450104E-02   9.0008013965329370E-01   8.7269302401133840E-04   2.4490984476871765E-02
      12.806403   2.8712243940356017E-02   9.0226947977599203E-01   8.5394308514778294E-04   2.3242265801573205E-02
      13.006503   3.1678781877038077E-02   9.0535079185494260E-01   8.2069457395308402E-04   2.1727926839033216E-02
      13.206603   3.4538212099079139E-02   9.0914994392175608E-01   7.7583336615553750E-04   2.0000616429047959E-02
      13.406703   3.7214026440614272E-02   9.1348398325356883E-01   7.2330321265161768E-04   1.8116780116536668E-02
      13.606803   3.9630866181140575E-02   9.1817301112593652E-01   6.6744082234027361E-04   1.6133986309221710E-02
      13.806903   4.1719203287739572E-02   9.2304966131854893E-01   6.1221559036776796E-04   1.4108485179730254E-02
      14.007004   4.3419476255154896E-02   9.2796582193041188E-01   5.6052841487158373E-04   1.2093149035776246E-02
      14.207104   4.4684185071152627E-02   9.3279661994556196E-01   5.1373102199527758E-04   1.0136153572604853E-02
      14.407204   4.5477043947378941E-02   9.3744205550337334E-01   4.7151233916538268E-04   8.2805604194338221E-03
      14.607304   4.5770246144246497E-02   9.4182651893010294E-01   4.3221035660357001E-04   6.5644878529244064E-03
      14.807404   4.5542357344635645E-02   9.4589595350274736E-01   3.9345847913467509E-04   5.0213488159507255E-03
      15.007504   4.4778751245579368E-02   9.4961242018031788E-01   3.5296474239867226E-04   3.6799031331030191E-03
      15.207604   4.3474534639503508E-02   9.5294648292902562E-01   3.0921951441624523E-04   2.5642824205297202E-03
      15.407704   4.1638511357022415E-02   9.5586858464548408E-01   2.6199721598286677E-04   1.6942842068920587E-03
      15.607804   3.9296706993334832E-02   9.5834094926155444E-01   2.1258765417761467E-04   1.0860337633735626E-03
      15.807904   3.6494501330687434E-02   9.6031160401057380E-01   1.6373700554649513E-04   7.5283943705348546E-04
      16.008004   3.3296625905503030E-02   9.6171195256080677E-01   1.1931276957529512E-04   7.0598134395954092E-04
      16.208104   2.9784463552650263E-02   9.6245861102030306E-01   8.3740614798818322E-05   9.5530472543839211E-04
      16.408204   2.6051023482868439E-02   9.6245874164307188E-01   6.1289522462223077E-05   1.5096526836010302E-03
      16.608304   2.2195504392556097E-02   9.6161662603066433E-01   5.5309599770315364E-05   2.3771498469583284E-03
      16.808404   1.8320096108261286E-02   9.5983910335565314E-01   6.7566292182119424E-05   3.5651045965278466E-03
      17.008504   1.4530435082166547E-02   9.5703921974343409E-01   9.7853180394949615E-05   5.0790738010988330E-03
      17.208604   1.0938661752474743E-02   9.5313951591664470E-01   1.4406047227740333E-04   6.9207421019880340E-03
      17.408704   7.6664541804284947E-03   9.4807695898308741E-01   2.0279915562410833E-04   9.0846927539833741E-03
      17.608804   4.8456732341820912E-03   9.4181089066198032E-01   2.7054669083426234E-04   1.1554489690279047E-02
      17.808904   2.6151567631397601E-03   9.3433515317595883E-01   3.4511217244179751E-04   1.4298545733172602E-02
      18.009005   1.1128897544481744E-03   9.2569491340137433E-01   4.2703711784151645E-04   1.7266456382936578E-02
      18.209105   4.6439046502605685E-04   9.1600464646046198E-01   5.2044889588654893E-04   2.0387217371505673E-02
      18.409205   7.7095970892984147E-04   9.0545777680759398E-01   6.3302137988455187E-04   2.3571260254653503E-02
      18.609305   2.1023972769227497E-03   8.9431850033945914E-01   7.7503809834248468E-04   2.6717207461559998E-02
      18.809405   4.4954963057065858E-03   8.8289619639206995E-01   9.5778909743518493E-04   2.9721850483088789E-02
      19.009505   7.9551478599176884E-03   8.7151387546210701E-01   1.1914854118128817E-03   3.2490204813143471E-02
      19.209605   1.2454190431098258E-02   8.6048278590068206E-01   1.4828023457036774E-03   3.4943120134976226E-02
      19.409705   1.7930989496612846E-02   8.5008709680977801E-01   1.8323378340296727E-03   3.7021774780051447E-02
      19.609805   2.4286015275182999E-02   8.4057674572033514E-01   2.2325307068026042E-03   3.8689349244924717E-02
      19.809905   3.1379357728186417E-02   8.3216689746982109E-01   2.6666690609083938E-03   3.9929838693853373E-02
      20.010005   3.9032124581740268E-02   8.2504216285013876E-01   3.1095687793619635E-03   4.0743794803109482E-02
      20.210105   4.7035682919014943E-02   8.1935905986554503E-01   3.5303582768936650E-03   4.1141952369953980E-02
      20.410205   5.5170035057153337E-02   8.1523929910473014E-01   3.8972094109953259E-03   4.1139120014890118E-02
      20.610305   6.3218320292175181E-02   8.1275951128058721E-01   4.1821243607096858E-03   4.0750433060393616E-02
      20.810405   7.0977145300056638E-02   8.1193926514906800E-01   4.3650460441067686E-03   3.9991492903306461E-02
      21.010505   7.8259458094679837E-02   8.1273777535506042E-01   4.4361586737654609E-03   3.8880639531567868E-02
      21.210605   8.4893799907488160E-02   8.1506132529143183E-01   4.3962374845906496E-03   3.7441164162574314E-02
      21.410705   9.0725306458659449E-02   8.1877651016837250E-01   4.2554834244536233E-03   3.5702340896984215E-02
      21.610805   9.5620194740477379E-02   8.2372359905795201E-01   4.0313264477748103E-03   3.3699442833143987E-02
      21.810905   9.9472322853596612E-02   8.2972735943563170E-01   3.7456046505203173E-03   3.1473109252752512E-02
      22.011006   1.0221020872014609E-01   8.3660516785431738E-01   3.4215177387714262E-03   2.9067959448067688E-02
      22.211106   1.0380282898380230E-01   8.4417318714595890E-01   3.0807290964532277E-03   2.6530444841345757E-02
      22.411206   1.0426079734760878E-01   8.5225205739698362E-01   2.7409576597301551E-03   2.3906684412697946E-02
      22.611306   1.0362958638623825E-01   8.6067333509089705E-01   2.4144373983525560E-03   2.1241278727347605E-02
      22.811406   1.0197624300626916E-01   8.6928565215869402E-01   2.1075863382575438E-03   1.8577269229970692E-02
      23.011506   9.9376442247698801E-02   8.7795728019199626E-01   1.8219136920284808E-03   1.5956428455979957E-02
      23.211606   9.5908175031971812E-02   8.8657281334928228E-01   1.5557470414198588E-03   1.3419069495445036E-02
      23.411706   9.1652409192870196E-02   8.9502531758961423E-01   1.3061633458963480E-03   1.1003415897330462E-02
      23.611806   8.6696685484621352E-02   9.0320736737025042E-01   1.0706659620997741E-03   8.7452051314855315E-03
      23.811906   8.1138443851868747E-02   9.1100338615438559E-01   8.4840177187577275E-04   6.6779916847121683E-03
      24.012006   7.5087361505673064E-02   9.1828440021567115E-01   6.4083410185667106E-04   4.8339622590257590E-03
      24.212106   6.8666144486252509E-02   9.2490662816671321E-01   4.5183211808022962E-04   3.2447142397307670E-03
      24.412206   6.2008416204757215E-02   9.3071525227524776E-01   2.8722781598353533E-04   1.9416405362386361E-03
      24.612306   5.5253855705020512E-02   9.3555220827070118E-01   1.5399877855809256E-04   9.5595536904843350E-04
      24.812406   4.8543707540656601E-02   9.3926403122305224E-01   5.9266827264929470E-05   3.1849620757018070E-04
      25.012506   4.2020154021889126E-02   9.4170653084931377E-01   9.2723160436256287E-06   5.9152598979028437E-05
      25.212606   3.5829607110446381E-02   9.4274711838322456E-01   8.4746860538353664E-06   2.0549054467060168E-04
      25.412706   3.0126434006747773E-02   9.4226843658424131E-01   5.8956447211881523E-05   7.8027133137346211E-04
      25.612806   2.5073585378773845E-02   9.4017578621111630E-01   1.6030183820613973E-04   1.7980234827766322E-03
