#     iter                       g1                       g2                       g3                   bare J                   deltaU                   full J                   deltaJ                       c1                       c2                       c3                 max_conc
        20   9.6488328263612178E-01  -5.1884220208459911E-02   2.9182199663525812E+00   1.2948203013752357E+00   9.7355063002904751E-02   2.1710158684013786E-01   5.6010597627092817E-01   9.4965097438695500E-01   4.1179380236001921E-02   3.5286923865978176E-02   2.8359884578155597E-01
        21   9.6598849422809741E-01  -4.5758463780992173E-02   2.9219248425103288E+00   1.3473502347522537E+00   8.8796490388812099E-02   2.1465186482515625E-01   5.1237199761453045E-01   9.5192380496767282E-01   4.1020895654501482E-02   3.2761364643095724E-02   2.7626604389555465E-01
        22   9.6709658627399264E-01  -4.0683658282012605E-02   2.9254082864171020E+00   1.3929972698658490E+00   8.1484157537515922E-02   2.1263546877034922E-01   4.7156078371718424E-01   9.5399978304893496E-01   4.0891729886840429E-02   3.0478646662034335E-02   2.6960142046832636E-01
        23   9.6816475206804253E-01  -3.6453604800496239E-02   2.9286200415390620E+00   1.4326526552446228E+00   7.5226346242905584E-02   2.1096897714307733E-01   4.3657843228224458E-01   9.5589482084340172E-01   4.0785548755229030E-02   2.8416232432220946E-02   2.6354191306085351E-01
        24   9.6916923344635963E-01  -3.2904964738606893E-02   2.9315436904296011E+00   1.4671363235683943E+00   6.9856393902158698E-02   2.0958438686878228E-01   4.0649345394476188E-01   9.5762523610355010E-01   4.0704542821318926E-02   2.6545198993786323E-02   2.5804810744789675E-01
        25   9.7009811687220093E-01  -2.9908387448881517E-02   2.9341819372552593E+00   1.4971804557654051E+00   6.5231843216900676E-02   2.0842670447175116E-01   3.8051825858700594E-01   9.5920670392523644E-01   4.0649584274578175E-02   2.4840490485350739E-02   2.5307784873500361E-01
        26   9.7094652581975038E-01  -2.7361326892811715E-02   2.9365472599905980E+00   1.5234248040388492E+00   6.1232358013255772E-02   2.0745160261581513E-01   3.5799090861252936E-01   9.5937980252393129E-01   3.9346253132059236E-02   2.3281226827711915E-02   2.4858779854909249E-01
        27   9.7171350403957257E-01  -2.5182288487167085E-02   2.9386561901828054E+00   1.5464196822693435E+00   5.7757072362238926E-02   2.0662333335294938E-01   3.3835745121133787E-01   9.5938265938030720E-01   3.8018904739778300E-02   2.1849553353218296E-02   2.4453785695528454E-01
        28   9.7240003742181036E-01  -2.3306259550081428E-02   2.9405259315468943E+00   1.5666333326522159E+00   5.4721803232395838E-02   2.0591295617437788E-01   3.2115532537941560E-01   9.5935932311737571E-01   3.6799770212320247E-02   2.0529842709236794E-02   2.4089348361835575E-01
        29   9.7300780363667483E-01  -2.1681111679841346E-02   2.9421724041267443E+00   1.5844611800803636E+00   5.2056395439310732E-02   2.0529687390341603E-01   3.0599833461715920E-01   9.5930818183079025E-01   3.5677608403657649E-02   1.9308219037453361E-02   2.3762650143523009E-01
        30   9.7353836493921531E-01  -2.0264792522023845E-02   2.9436091075319428E+00   1.6002353147663468E+00   4.9702343675519955E-02   2.0475564078460268E-01   2.9256349306148488E-01   9.5922665736417223E-01   3.4642420370970664E-02   1.8172248031970567E-02   2.3471523311827977E-01
        31   9.7399262088354821E-01  -1.9023147035953800E-02   2.9448464282713975E+00   1.6142332723755537E+00   4.7610745125066689E-02   2.0427299785011538E-01   2.8057981386300834E-01   9.5911103585298196E-01   3.3685242106265889E-02   1.7110710424718518E-02   2.3214444482061961E-01
        32   9.7437041017648951E-01  -1.7928229659895729E-02   2.9458911743549159E+00   1.6266857121509948E+00   4.5740578036335355E-02   2.0383509144780129E-01   2.6981891785269252E-01   9.5895637429763392E-01   3.2798018862393988E-02   1.6113425864763050E-02   2.2990529308977284E-01
        33   9.7467019792068466E-01  -1.6956991057525524E-02   2.9467462190611089E+00   1.6377829134830446E+00   4.4057272403232650E-02   2.0342983651121385E-01   2.6008723922611710E-01   9.5875640047467403E-01   3.1973492482653493E-02   1.5171116951818050E-02   2.2799532053121846E-01
        34   9.7488881357856350E-01  -1.6090245443761281E-02   2.9474101945832292E+00   1.6476801698153918E+00   4.2531529780015065E-02   2.0304639378355277E-01   2.5121958164998193E-01   9.5850341120547533E-01   3.1205097402974107E-02   1.4275312576058664E-02   2.2641847322603367E-01
        35   9.7502122394723933E-01  -1.5311844679164742E-02   2.9478772132226401E+00   1.6565022213769813E+00   4.1138351402855045E-02   2.0267473840026767E-01   2.4307380305059922E-01   9.5818818984087972E-01   3.0486865661450233E-02   1.3418293035666730E-02   2.2518507796265477E-01
        36   9.7506034025839639E-01  -1.4608001841549033E-02   2.9481366220198755E+00   1.6643468889156667E+00   3.9856240696004241E-02   2.0230530551797049E-01   2.3552645303502917E-01   9.5779997239317838E-01   2.9813342416101320E-02   1.2593079714322592E-02   2.2431169396534018E-01
        37   9.7499687295649284E-01  -1.3966719540966534E-02   2.9481728241568153E+00   1.6712880826564400E+00   3.8666554210644688E-02   2.0192870705522425E-01   2.2846923668049701E-01   9.5732650018264809E-01   2.9179514394432664E-02   1.1793470257527534E-02   2.2382073029470512E-01
        38   9.7481926366940164E-01  -1.3377287655913991E-02   2.9479652311033555E+00   1.6773783776560127E+00   3.7552982904621390E-02   2.0153552237976052E-01   2.2180622726325383E-01   9.5675420581798942E-01   2.8580754578352650E-02   1.1014116015551897E-02   2.2373969518080808E-01
        39   9.7451374179617578E-01  -1.2829822983191191E-02   2.9474884442310021E+00   1.6826513728975685E+00   3.6501152957397975E-02   2.0111617495141504E-01   2.1545179619894483E-01   9.5606858673665762E-01   2.8012787104153503E-02   1.0250631648121594E-02   2.2409992322074390E-01
        40   9.7406457183951833E-01  -1.2314831551827403E-02   2.9467128011947050E+00   1.6871240825366547E+00   3.5498342097366020E-02   2.0066091614129491E-01   2.0932927082765562E-01   9.5525482238299053E-01   2.7471676500629039E-02   9.4997174237645820E-03   2.2493462214737892E-01
        41   9.7345457372974753E-01  -1.1822785462297652E-02   2.9456054540855803E+00   1.6907996341158844E+00   3.4533313295262769E-02   2.0015994537732495E-01   2.0337036565246658E-01   9.5429868183952993E-01   2.6953844620650355E-02   8.7592644671581309E-03   2.2627610888095473E-01
        42   9.7266600541139547E-01  -1.1343722614320838E-02   2.9441321602163586E+00   1.6936705524043103E+00   3.3596271785697129E-02   1.9960369984755846E-01   1.9751545203192056E-01   9.5318774198232648E-01   2.6456116715567989E-02   8.0284054511012993E-03   2.2815218374098123E-01
        43   9.7168188466573324E-01  -1.0866901479368149E-02   2.9422599420210216E+00   1.6957228632688413E+00   3.2678951932402445E-02   1.9898334306604634E-01   1.9171472012740376E-01   9.5191288656706596E-01   2.5975795147999386E-02   7.3074729908789819E-03   2.3058173868604367E-01
        44   9.7048778245391898E-01  -1.0380573719821231E-02   2.9399606838112855E+00   1.6969411281901774E+00   3.1774835048116623E-02   1.9829146436232270E-01   1.8593022576208174E-01   9.5046998274703631E-01   2.5510755580873047E-02   6.5978400593034916E-03   2.3356991439361058E-01
        45   9.6907403097843026E-01  -9.8719695016433826E-03   2.9372155559319251E+00   1.6973142931713692E+00   3.0879484880529384E-02   1.9752296570961336E-01   1.8013868249046139E-01   9.4886154063785599E-01   2.5059556405779063E-02   5.9016424603583143E-03   2.3710338863514041E-01
        46   9.6743815344611384E-01  -9.3276106289514465E-03   2.9340198854568920E+00   1.6968419085890252E+00   2.9990962198549020E-02   1.9667605683759665E-01   1.7433464721673264E-01   9.4709807367399024E-01   2.4621547650187300E-02   5.2214175092457089E-03   2.4114663082870183E-01
        47   9.6558715742502843E-01  -8.7340541948904993E-03   2.9303877629441928E+00   1.6955399090383136E+00   2.9110244465114343E-02   1.9575321092243431E-01   1.6853347517628847E-01   9.4519882570610658E-01   2.4196960534721364E-02   4.5597233156754891E-03   2.4564009111987709E-01
        48   9.6353918861452992E-01  -8.0791020348345288E-03   2.9263553839994803E+00   1.6934448620458633E+00   2.8241537927784943E-02   1.9476187033959277E-01   1.6277315820095239E-01   9.4319155346887595E-01   2.3786953966193670E-02   3.9188149946103971E-03   2.5050119149949851E-01
        49   9.6132399304032257E-01  -7.3533806063592203E-03   2.9219820243513221E+00   1.6906155758282426E+00   2.7392342141720261E-02   1.9371466551037250E-01   1.5711403446805949E-01   9.4111117695381552E-01   2.3393591940730284E-02   3.3004395303372902E-03   2.5562858077950440E-01
        50   9.5898175939819330E-01  -6.5520269154720184E-03   2.9173477902402682E+00   1.6871313370615995E+00   2.6573131376817938E-02   1.9262895194529608E-01   1.5163551733853886E-01   9.3899732974444594E-01   2.3019729811530783E-02   2.7057743704138187E-03   2.6090944137079219E-01
        51   9.5656023612751750E-01  -5.6760747310829690E-03   2.9125479263166296E+00   1.6830868159822443E+00   2.5796571600382956E-02   1.9152559603856908E-01   1.4642952822873501E-01   9.3689110641490725E-01   2.2668800602640347E-02   2.1354918729990409E-03   2.6622886515363653E-01
        52   9.5411047122484072E-01  -4.7331072415126192E-03   2.9076843656642968E+00   1.6785845958046861E+00   2.5076297409684867E-02   1.9042712724918501E-01   1.4159116895243828E-01   9.3483152903387090E-01   2.2344514282053706E-02   1.5899004670340382E-03   2.7147971238488550E-01
        53   9.5168194432325093E-01  -3.7368817041168270E-03   2.9028560481958854E+00   1.6737269719720866E+00   2.4425404924574234E-02   1.8935556162932549E-01   1.3720806885351333E-01   9.3285235161118496E-01   2.2050507156989866E-02   1.0691040745585897E-03   2.7657117768509965E-01
        54   9.4931806477343839E-01  -2.7059115052042158E-03   2.8981499448964101E+00   1.6686087952311968E+00   2.3854924780928544E-02   1.8833031182595536E-01   1.3335041359697331E-01   9.3097974345016943E-01   2.1789995875529523E-02   5.7313261391514839E-04   2.8143461085705401E-01
        55   9.4705289537746318E-01  -1.6613003715548248E-03   2.8936345035335740E+00   1.6633126422774929E+00   2.3372572901588229E-02   1.8736657983917870E-01   1.3006361341878170E-01   9.2923116348251722E-01   2.1565492847881739E-02   1.0201871187302466E-04   2.8602586607678782E-01
        56   9.4490957880955539E-01  -6.2432647919553018E-04   2.8893564735953370E+00   1.6579067448922986E+00   2.2982013650261535E-02   1.8647448677446526E-01   1.2736488073625418E-01   7.2384556673799200E-02   2.1378625408541928E-02   3.4418183702315461E-04   2.9032430652019053E-01
        57   9.4290046380311243E-01   3.8570845361239831E-04   2.8853411138923883E+00   1.6524452955221169E+00   2.2682733500156926E-02   1.8565898970235292E-01   1.2524394281891293E-01   7.3866158473995497E-02   2.1230075428877931E-02   7.6541298930116533E-04   2.9432927451510560E-01
        58   9.4102854078245912E-01   1.3530003431598456E-03   2.8815950134992225E+00   1.6469702774687871E+00   2.2470469675947569E-02   1.8492045045523153E-01   1.2366713525138440E-01   7.5218311397358073E-02   2.1119629314912156E-02   1.1616655779724781E-03   2.9805516698906553E-01
        59   9.3928961256671029E-01   2.2659974997870525E-03   2.8781103871156808E+00   1.6415139083593058E+00   2.2338024804223977E-02   1.8425561315973216E-01   1.2258353627665253E-01   7.6449771733695646E-02   2.1046309236051410E-02   1.5330304005418509E-03   3.0152622099706433E-01
        60   9.3767464552616364E-01   3.1174581887736426E-03   2.8748697418086566E+00   1.6361010093535397E+00   2.2276255234213060E-02   1.8365873064614574E-01   1.2193170948276622E-01   7.7571658650088901E-02   2.1008548985585886E-02   1.8797439173049504E-03   3.0477183316762368E-01
        61   9.3617189550650071E-01   3.9040038610469959E-03   2.8718501059483241E+00   1.6307509280310604E+00   2.2275042890110619E-02   1.8312263140420562E-01   1.2164591108082379E-01   7.8596038054899398E-02   2.1004380790180667E-02   2.2022191330197498E-03   3.0782286978210788E-01
        62   9.3476859001132229E-01   4.6253940200666911E-03   2.8690263823791753E+00   1.6254789104945460E+00   2.2324121018944876E-02   1.8263959996650500E-01   1.2166107749777577E-01   7.9534886979234026E-02   2.1031608380166759E-02   2.5010593521874423E-03   3.1070909715913880E-01
        63   9.3345210806917300E-01   5.2837172814641006E-03   2.8663737060021641E+00   1.6202969816274293E+00   2.2413692646397587E-02   1.8220202154450077E-01   1.2191635206761042E-01   8.0399424913524253E-02   2.1087952164649679E-02   2.7770560482552852E-03   3.1345763767881929E-01
        64   9.3221070389250049E-01   5.8826326676732713E-03   2.8638688948314859E+00   1.6152144593624931E+00   2.2534836038799688E-02   1.8180279837116903E-01   1.2235723054939340E-01   8.1199750019218392E-02   2.1171161331691703E-02   3.0311740426164149E-03   3.1609224209583986E-01
        65   9.3103387062874210E-01   6.4267334012199544E-03   2.8614911843283157E+00   1.6102382343818409E+00   2.2679725648276139E-02   1.8143557652163264E-01   1.2293657866486296E-01   8.1944701015656429E-02   2.1279093830585478E-02   3.2645278825106892E-03   3.1863313932414550E-01
        66   9.2991245094116792E-01   6.9210572579245936E-03   2.8592224564167288E+00   1.6053729227697322E+00   2.2841711572666346E-02   1.8109483269237292E-01   1.2361482868746199E-01   8.2641868880013486E-02   2.1409768540077524E-02   3.4783531658049670E-03   3.2109724741228551E-01
